Reporting Period,Project Number,Legacy Project Number,Street Address,City,County,State,ZIP Code,Incorporated Municipality,Municipality Type,Census Tract,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Minority or Women Owned Business Enterprise (MWBE),Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Latitude,Longitude,Georeference
11/30/2022,252136,,,Levittown,Nassau,NY,11756,Hempstead,Town,36059409200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/6/2020,4/16/2021,Complete,Harvest Power,No,Enphase Energy Inc.,IQ7PLUS-72-x-US-& [240V],32,LG Electronics Inc.,LG370Q1C-V5,32,35900,,11.84,15075,,No,No,Yes,40.7206369,-73.5137848,POINT (-73.5137848 40.7206369)
11/30/2022,258226,,,East Rockaway,Nassau,NY,11518,Hempstead,Town,36059412200,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/18/2020,6/3/2021,Complete,GreenLeaf Solar,No,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],14,"S-Energy Co., Ltd.",SN370M-10(B),14,16576,,5.18,6355,,No,No,Yes,40.6332349,-73.6672123,POINT (-73.6672123 40.6332349)
11/30/2022,156140,,,Massapequa,Nassau,NY,11758,Oyster Bay,Town,36059520900,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/26/2018,1/31/2019,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE6000H-US [240V],1,"S-Energy Co., Ltd.",SN355M-10,20,36500,,7.1,8146,,No,No,Yes,40.6979378,-73.475699,POINT (-73.475699 40.6979378)
11/30/2022,244186,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059415300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/15/2020,7/15/2020,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],14,"S-Energy Co., Ltd.",SN370M-10T,14,23226.5,1659.035714,5.18,5870,,No,No,Yes,40.6722033,-73.5348249,POINT (-73.5348249 40.6722033)
11/30/2022,496759,,,Oceanside,Nassau,NY,11572,Hempstead,Town,36059413300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/22/2022,10/27/2022,Complete,"SuNation Solar Systems, Inc.",No,Enphase Energy Inc.,IQ8PLUS-72-2-US [240V],22,REC Solar,REC365AA Black,22,29928,,8.03,9601,,No,No,Yes,40.6375195,-73.628331,POINT (-73.628331 40.6375195)
11/30/2022,315436,,,Seaford,Nassau,NY,11783,Hempstead,Town,36059416100,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,6/25/2021,8/19/2021,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],28,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,28,39267.87,,10.64,12276,,No,No,Yes,40.6566387,-73.4945963,POINT (-73.4945963 40.6566387)
11/30/2022,171826,,,Valley Stream,Nassau,NY,11581,Hempstead,Town,36059410800,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,2/9/2019,5/29/2019,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,"S-Energy Co., Ltd.",SN360M-10,16,20678.4,,5.76,6695,,No,No,Yes,40.6529539,-73.7073251,POINT (-73.7073251 40.6529539)
11/30/2022,258622,,,Hicksville,Nassau,NY,11801,Oyster Bay,Town,36059519300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/27/2020,11/20/2020,Complete,Smart Home Energy Source,No,Enphase Energy Inc.,IQ7XS-96-y-ACM-z [240V],29,Sunpower,SPR-X20-327-BLK-E-AC,29,30915,,9.48,10967,,No,No,Yes,40.7650004,-73.5139024,POINT (-73.5139024 40.7650004)
11/30/2022,115145,,,Bellmore,Nassau,NY,11710,Hempstead,Town,36059415300,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,3/22/2018,5/29/2018,Complete,"SuNation Solar Systems, Inc.",No,SolarEdge Technologies Ltd.,SE10000A-US (240V),1,Silfab,SLG370M,33,38061,,12.21,14707,,No,No,Yes,40.6722033,-73.5348249,POINT (-73.5348249 40.6722033)
11/30/2022,378949,,,Wantagh,Nassau,NY,11793,Hempstead,Town,36059415600,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,2/7/2022,3/22/2022,Complete,NY State Solar (dba for NYSS LLC),No,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],16,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G10+ 400,16,28360.15,,6.4,7852,,No,No,Yes,40.6793876,-73.5165815,POINT (-73.5165815 40.6793876)
